comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T+C - lgbm S+T,p@50,36,0.04,0.02,0.02
lgbm S+T+C - lgbm S+T,p@50,37,0.02,0.0,0.02
lgbm S+T+C - lgbm S+T,p@50,38,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,39,0.02,0.04,-0.02
lgbm S+T+C - lgbm S+T,p@50,40,0.02,0.02,0.0
lgbm S+T+C - lgbm S+T,p@50,41,0.02,0.02,0.0
lgbm S+T+C - lgbm S+T,p@50,42,0.02,0.02,0.0
lgbm S+T+C - lgbm S+T,p@50,43,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,44,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,45,0.08,0.08,0.0
lgbm S+T+C - lgbm S+T,p@50,46,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@50,47,0.0,0.02,-0.02
lgbm S+T+C - lgbm S+T,p@50,48,0.04,0.04,0.0
lgbm S+T+C - lgbm S+T,p@50,49,0.0,0.02,-0.02
lgbm S+T+C - lgbm S+T,p@100,25,0.01,0.02,-0.01
lgbm S+T+C - lgbm S+T,p@100,26,0.01,0.0,0.01
lgbm S+T+C - lgbm S+T,p@100,27,0.03,0.03,0.0
lgbm S+T+C - lgbm S+T,p@100,28,0.03,0.06,-0.03
lgbm S+T+C - lgbm S+T,p@100,29,0.03,0.03,0.0
lgbm S+T+C - lgbm S+T,p@100,30,0.0,0.01,-0.01
lgbm S+T+C - lgbm S+T,p@100,31,0.03,0.02,0.009999999999999998
lgbm S+T+C - lgbm S+T,p@100,32,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@100,33,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@100,34,0.02,0.03,-0.009999999999999998
lgbm S+T+C - lgbm S+T,p@100,35,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@100,36,0.02,0.02,0.0
lgbm S+T+C - lgbm S+T,p@100,37,0.01,0.01,0.0
lgbm S+T+C - lgbm S+T,p@100,38,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@100,39,0.01,0.05,-0.04
lgbm S+T+C - lgbm S+T,p@100,40,0.03,0.02,0.009999999999999998
lgbm S+T+C - lgbm S+T,p@100,41,0.01,0.01,0.0
lgbm S+T+C - lgbm S+T,p@100,42,0.01,0.01,0.0
lgbm S+T+C - lgbm S+T,p@100,43,0.0,0.0,0.0
lgbm S+T+C - lgbm S+T,p@100,44,0.02,0.0,0.02
lgbm S+T+C - lgbm S+T,p@100,45,0.04,0.04,0.0
lgbm S+T+C - lgbm S+T,p@100,46,0.02,0.0,0.02
lgbm S+T+C - lgbm S+T,p@100,47,0.01,0.01,0.0
lgbm S+T+C - lgbm S+T,p@100,48,0.03,0.03,0.0
lgbm S+T+C - lgbm S+T,p@100,49,0.0,0.01,-0.01
lgbm S+T+C - lgbm S,roc_auc,25,0.8974499949994998,0.8649479947994799,0.03250200020001992
lgbm S+T+C - lgbm S,roc_auc,26,0.8387632405763766,0.8618436382728706,-0.02308039769649395
lgbm S+T+C - lgbm S,roc_auc,27,0.8789371647304658,0.8108696630547295,0.06806750167573627
lgbm S+T+C - lgbm S,roc_auc,28,0.8988903335500326,0.7772640062676068,0.12162632728242573
lgbm S+T+C - lgbm S,roc_auc,29,0.9294585455282328,0.857563853728451,0.0718946917997818
lgbm S+T+C - lgbm S,roc_auc,30,0.9067809746682267,0.9322316847893638,-0.025450710121137088
lgbm S+T+C - lgbm S,roc_auc,31,0.8190269491771225,0.8211174344926688,-0.002090485315546342
lgbm S+T+C - lgbm S,roc_auc,32,0.8135373384334609,0.7541738543463586,0.059363484087102236
lgbm S+T+C - lgbm S,roc_auc,33,0.8411748969958799,0.8353396635865435,0.005835233409336338
lgbm S+T+C - lgbm S,roc_auc,34,0.9069162440297853,0.9414545072706271,-0.03453826324084175
lgbm S+T+C - lgbm S,roc_auc,35,0.6896804800660473,0.6378231464860362,0.0518573335800111
lgbm S+T+C - lgbm S,roc_auc,36,0.8190061454916393,0.7752904607368589,0.04371568475478038
lgbm S+T+C - lgbm S,roc_auc,37,0.9162619065476637,0.9507207680192005,-0.03445886147153676
lgbm S+T+C - lgbm S,roc_auc,38,0.9047532376618831,0.7696037301865094,0.1351495074753737
lgbm S+T+C - lgbm S,roc_auc,39,0.9662041713337066,0.9675233393671494,-0.0013191680334427858
lgbm S+T+C - lgbm S,roc_auc,40,0.9594217217979594,0.8851124067708225,0.07430931502713689
lgbm S+T+C - lgbm S,roc_auc,41,0.9782623392371377,0.9230511275532925,0.05521121168384513
lgbm S+T+C - lgbm S,roc_auc,42,0.9629140267651523,0.8216232475829645,0.1412907791821878
lgbm S+T+C - lgbm S,roc_auc,43,0.9070455254299266,0.8353164147036014,0.07172911072632515
lgbm S+T+C - lgbm S,roc_auc,44,0.9138167052103321,0.8696456859973218,0.044171019213010254
