fold_k,model,feature_set,n_train_pairs,n_train_pos,n_test_pairs,n_test_pos,fit_seconds,roc_auc,pr_auc,p@50,p@100
28,victim_risk_only,heuristic,1544135,205,200000,30,0.08398699760437012,0.7653131303028787,0.006011797144809933,0.04,0.03
28,issuer_risk_only,heuristic,1544135,205,200000,30,0.08370018005371094,0.6953177143238152,0.0004887677888257096,0.0,0.0
28,structural_heuristic,heuristic,1544135,205,200000,30,0.10810279846191406,0.7627964194629194,0.008919255382933217,0.04,0.03
28,lgbm,S,1544135,205,200000,30,1.4029359817504883,0.7772640062676068,0.008339112195307505,0.06,0.03
28,lgbm,S+T,1544135,205,200000,30,1.5634009838104248,0.8746667000050008,0.055905041920841295,0.06,0.06
28,lgbm,S+T+C,1544135,205,200000,30,1.4491431713104248,0.8988903335500326,0.02832848022119086,0.06,0.03
29,recency_only,heuristic,1744135,228,200000,21,0.1330699920654297,0.9562401671223097,0.0069574549145875395,0.04,0.02
29,victim_risk_only,heuristic,1744135,228,200000,21,0.08225369453430176,0.7389161576251221,0.0017704704389016248,0.02,0.01
29,issuer_risk_only,heuristic,1744135,228,200000,21,0.08446502685546875,0.7802482355885463,0.0008802733503165942,0.0,0.0
29,structural_heuristic,heuristic,1744135,228,200000,21,0.11580586433410645,0.7787086691721679,0.0035534054673532997,0.02,0.01
29,lgbm,S,1744135,228,200000,21,1.4827568531036377,0.857563853728451,0.04480249128410383,0.08,0.04
29,lgbm,S+T,1744135,228,200000,21,1.613396167755127,0.9088385232830399,0.024274809306388805,0.06,0.03
29,lgbm,S+T+C,1744135,228,200000,21,1.4445710182189941,0.9294585455282328,0.012654500936337514,0.04,0.03
30,recency_only,heuristic,1944135,258,200000,14,0.13051319122314453,0.8829085893155377,0.009122925325468626,0.04,0.02
30,victim_risk_only,heuristic,1944135,258,200000,14,0.08228302001953125,0.7913477157686752,0.0009777488336562392,0.0,0.01
30,issuer_risk_only,heuristic,1944135,258,200000,14,0.08465719223022461,0.7899174370777383,0.0003802230873653468,0.0,0.0
30,structural_heuristic,heuristic,1944135,258,200000,14,0.10987210273742676,0.7699731838371543,0.004700455030473016,0.0,0.02
30,lgbm,S,1944135,258,200000,14,1.4221150875091553,0.9322316847893638,0.02057427352802983,0.04,0.03
30,lgbm,S+T,1944135,258,200000,14,1.6763479709625244,0.8943379608001131,0.004816435817500531,0.0,0.01
30,lgbm,S+T+C,1944135,258,200000,14,1.6392669677734375,0.9067809746682267,0.005463880678637494,0.0,0.0
31,recency_only,heuristic,2144135,279,200000,31,0.1288750171661377,0.8606204929506008,0.008075090375272362,0.04,0.02
31,victim_risk_only,heuristic,2144135,279,200000,31,0.08271479606628418,0.9032016091526445,0.0010110185239510878,0.0,0.0
31,issuer_risk_only,heuristic,2144135,279,200000,31,0.0826869010925293,0.5083804925247284,0.000789612048561639,0.0,0.0
31,structural_heuristic,heuristic,2144135,279,200000,31,0.10689401626586914,0.9115542747835592,0.006266308387139758,0.02,0.01
31,lgbm,S,2144135,279,200000,31,1.343069314956665,0.8211174344926688,0.009689354608963658,0.06,0.03
31,lgbm,S+T,2144135,279,200000,31,1.5144479274749756,0.8612672867520272,0.010805308282119033,0.02,0.02
31,lgbm,S+T+C,2144135,279,200000,31,1.5315921306610107,0.8190269491771225,0.019546933554998522,0.04,0.03
32,recency_only,heuristic,2344135,293,200000,5,0.1295478343963623,0.7433745843646091,7.818199899030549e-05,0.0,0.0
32,victim_risk_only,heuristic,2344135,293,200000,5,0.08278894424438477,0.6176309407735193,4.576822652713635e-05,0.0,0.0
32,issuer_risk_only,heuristic,2344135,293,200000,5,0.08331012725830078,0.38911872796819924,8.669172102604059e-05,0.0,0.0
32,structural_heuristic,heuristic,2344135,293,200000,5,0.10924911499023438,0.800286507162679,0.00010590392395455919,0.0,0.0
32,lgbm,S,2344135,293,200000,5,1.3693430423736572,0.7541738543463586,6.072232588933365e-05,0.0,0.0
32,lgbm,S+T,2344135,293,200000,5,1.5375521183013916,0.7802485062126553,0.00011912677662196132,0.0,0.0
32,lgbm,S+T+C,2344135,293,200000,5,1.352114200592041,0.8135373384334609,0.00012760056059016268,0.0,0.0
33,recency_only,heuristic,2544135,324,200000,8,0.1313343048095703,0.8284362624504981,0.0001692252108637452,0.0,0.0
33,victim_risk_only,heuristic,2544135,324,200000,8,0.08457207679748535,0.5107885565422616,6.355036469928145e-05,0.0,0.0
33,issuer_risk_only,heuristic,2544135,324,200000,8,0.08707094192504883,0.7612598253930156,0.00020476566169639533,0.0,0.0
33,structural_heuristic,heuristic,2544135,324,200000,8,0.11188721656799316,0.709891208148326,0.00016342209959781286,0.0,0.0
33,lgbm,S,2544135,324,200000,8,1.505774974822998,0.8353396635865435,0.00017930537007939174,0.0,0.0
33,lgbm,S+T,2544135,324,200000,8,1.5267221927642822,0.7413384035361414,0.00029146145705352775,0.0,0.0
33,lgbm,S+T+C,2544135,324,200000,8,1.440199851989746,0.8411748969958799,0.000356051154320164,0.0,0.0
34,recency_only,heuristic,2744135,329,200000,11,0.13180804252624512,0.8387540860201858,0.002972246375243987,0.02,0.01
34,victim_risk_only,heuristic,2744135,329,200000,11,0.0864262580871582,0.6647797447041406,0.00012362312366728963,0.0,0.0
34,issuer_risk_only,heuristic,2744135,329,200000,11,0.08732318878173828,0.775093539235567,0.0001685280822411399,0.0,0.0
34,structural_heuristic,heuristic,2744135,329,200000,11,0.11205101013183594,0.8157171371698171,0.002002698409016373,0.0,0.01
34,lgbm,S,2744135,329,200000,11,1.4587647914886475,0.9414545072706271,0.013888257719065608,0.02,0.02
34,lgbm,S+T,2744135,329,200000,11,1.7466671466827393,0.911728781446616,0.06663693821812795,0.06,0.03
